pais,ano,imigracao_liquida,populacao_total,taxa_imigracao_pct,preco_medio_habitacao_usd,salario_medio_anual_usd,salario_medio_mensal_usd,inflacao_anual_pct,preco_rendimento_ratio
Portugal,2018,22495,10323939,0.22,210000,24000,2000,1.2,8.75
Portugal,2019,63031,10362384,0.61,225000,24500,2042,0.3,9.18
Portugal,2020,54076,10378612,0.52,240000,25000,2083,0.0,9.6
Portugal,2021,69606,10403292,0.67,270000,25500,2125,1.3,10.59
Portugal,2022,68696,10430785,0.66,300000,25800,2150,7.8,11.63
Portugal,2023,29102,10430616,0.28,310000,26000,2167,5.3,11.92
Portugal,2024,20648,10419907,0.2,320000,26200,2183,2.2,12.21
Portugal,2025,18000,10403679,0.17,330000,26500,2208,2.0,12.45
Espanha,2018,334000,46937060,0.71,230000,27000,2250,1.7,8.52
Espanha,2019,750000,47100396,1.59,245000,27500,2292,0.8,8.91
Espanha,2020,467000,47351567,0.98,260000,28000,2333,0.3,9.29
Espanha,2021,144385,47450795,0.3,285000,28500,2375,3.1,10.0
Espanha,2022,299779,47615034,0.63,300000,28800,2400,8.4,10.42
Espanha,2023,119099,47868689,0.25,305000,29000,2417,3.5,10.52
Espanha,2024,111674,47900000,0.23,310000,29200,2433,2.9,10.62
Espanha,2025,105000,47950000,0.22,315000,29500,2458,2.3,10.68
Irlanda,2018,34000,4818690,0.7,300000,47000,3917,0.6,6.38
Irlanda,2019,33000,4904240,0.67,320000,48500,4042,0.9,6.6
Irlanda,2020,28000,4964440,0.56,350000,50000,4167,0.3,7.0
Irlanda,2021,61000,5023100,1.21,380000,51000,4250,2.4,7.45
Irlanda,2022,77000,5074000,1.52,400000,51500,4292,7.8,7.77
Irlanda,2023,85000,5226000,1.62,410000,51800,4317,6.4,7.92
Irlanda,2024,80000,5300000,1.5,420000,52000,4333,1.8,8.08
Irlanda,2025,75000,5350000,1.4,430000,52500,4375,2.0,8.19
EUA,2018,954000,327167434,0.29,330000,52000,4333,2.4,6.35
EUA,2019,1158444,328239523,0.35,340000,53000,4417,1.8,6.42
EUA,2020,675560,331002651,0.2,350000,55000,4583,1.2,6.36
EUA,2021,561580,331893745,0.17,400000,56000,4667,4.7,7.14
EUA,2022,998540,333287557,0.3,470000,57000,4750,8.0,8.25
EUA,2023,999700,334914895,0.3,495000,57500,4792,4.1,8.61
EUA,2024,950000,336000000,0.28,510000,58000,4833,2.7,8.79
EUA,2025,900000,337000000,0.27,520000,58500,4875,2.3,8.89
Brasil,2018,-50000,209469333,-0.02,120000,8500,708,3.7,14.12
Brasil,2019,-60000,211049527,-0.03,130000,8800,733,3.7,14.77
Brasil,2020,-70000,212559417,-0.03,140000,9000,750,4.5,15.56
Brasil,2021,-80000,213993437,-0.04,150000,9200,767,10.1,16.3
Brasil,2022,-90000,215313498,-0.04,155000,9300,775,5.8,16.67
Brasil,2023,-100000,216422446,-0.05,158000,9400,783,4.6,16.81
Brasil,2024,-95000,217000000,-0.04,160000,9500,792,5.0,16.84
Brasil,2025,-90000,217500000,-0.04,165000,9600,800,4.5,17.19
